name,attribute,species,f_skill,s_skill,maxhp2,maxatk2,minhp,minatk,maxhp1,maxatk1,pre_f_skill,pre_s_skill,f_skill_effect,s_skill_effect,pre_f_skill_effect,pre_s_skill_effect
玄武殻拳,水,格闘,霧氷の追牙・肆,霧氷の攻刃,230,2130,33,285,196,1820,霧氷の追牙・肆,,4番目に配置された水属性キャラに水属性追加ダメージ付与(LV1:1%)/奥義ゲージ上昇量30%DOWN,水属性キャラの攻撃力上昇(大),4番目に配置された水属性キャラに水属性追加ダメージ付与(LV1:1%)/奥義ゲージ上昇量30%DOWN,
朱雀翼弦,火,楽器,紅蓮の呪印・弐,紅蓮の攻刃,220,2020,33,285,186,1740,紅蓮の呪印・弐,,2番目に配置された火属性キャラの攻撃力上昇(大)/毎ターンダメージを受ける,火属性キャラの攻撃力上昇(大),2番目に配置された火属性キャラの攻撃力上昇(大)/毎ターンダメージを受ける,
バルムンク,火,剣,紅蓮の守護,火の背水,200,2380,26,335,171,2035,紅蓮の守護,,火属性キャラの最大HP上昇(大),火属性キャラのHPが少ないほど攻撃力が上昇(小),火属性キャラの最大HP上昇(大),
イフリートハルベルト,火,槍,紅蓮の攻刃,火の技巧,241,2170,31,310,206,1860,紅蓮の攻刃,,火属性キャラの攻撃力上昇(大),火属性攻撃で弱点を突いた時、クリティカル確率上昇(小),火属性キャラの攻撃力上昇(大),
サジタリウスボウ,風,弓,乱気の守護,風の攻刃,214,2358,29,330,183,2020,乱気の守護,,風属性キャラの最大HP上昇(大),風属性キャラの攻撃力上昇(小),風属性キャラの最大HP上昇(大),
紅陽扇,光,格闘,天光の守護,光の攻刃,234,2210,32,305,200,1890,天光の守護,,光属性キャラの最大HP上昇(大),光属性キャラの攻撃力上昇(小),光属性キャラの最大HP上昇(大),
ウェルギリウス,水,槍,霧氷の守護,水の攻刃,239,2170,35,290,205,1855,霧氷の守護,,水属性キャラの最大HP上昇(大),水属性キャラの攻撃力上昇(小),水属性キャラの最大HP上昇(大),
裁きの鳴雷,土,銃,地裂の攻刃,土の守護,169,2530,24,345,145,2165,地裂の攻刃,,土属性キャラの攻撃力上昇(大),土属性キャラの最大HP上昇(小),土属性キャラの攻撃力上昇(大),
ディアボロスボウ,闇,弓,奈落の守護,闇の攻刃,218,2450,27,355,186,2100,奈落の守護,,闇属性キャラの最大HP上昇(大),闇属性キャラの攻撃力上昇(小),闇属性キャラの最大HP上昇(大),
ヘルウォードダガー,闇,短剣,奈落の攻刃,闇の二手,221,2275,27,330,189,1950,奈落の攻刃,,闇属性キャラの攻撃力上昇(大),闇属性キャラのダブルアタック確率上昇(小),闇属性キャラの攻撃力上昇(大),
グレイプニル,水,斧,霧氷の二手,水の攻刃,182,2465,27,330,156,2110,霧氷の二手,,水属性キャラのダブルアタック確率上昇(大),水属性キャラの攻撃力上昇(小),水属性キャラのダブルアタック確率上昇(大),
ケルベロス・オーダー,闇,銃,奈落の三手,闇の背水,167,2585,20,375,142,2215,奈落の三手,,闇属性キャラの連続攻撃確率上昇(大),闇属性キャラのHPが少ないほど攻撃力が上昇(小),闇属性キャラの連続攻撃確率上昇(大),
フィンブル,水,弓,霧氷の渾身,水の守護,220,2370,32,320,188,2030,霧氷の渾身,,水属性キャラのHPが多いほど攻撃力が上昇(大),水属性キャラの最大HP上昇(小),水属性キャラのHPが多いほど攻撃力が上昇(大),
ウシュムガル,火,剣,ブレイズオブアームズ,スカーレット・アーツ,230,2760,30,375,0,0,0,0.0,火属性キャラの攻撃力上昇(EX大),火属性キャラのアビリティダメージ上限UP,,
ヴィントホーゼ,風,剣,ゲイルオブアームズ,チェインフォース,230,2750,31,370,0,0,0,0.0,風属性キャラの攻撃力上昇(EX大),チェインバーストのダメージがUP/チェインバーストのダメージ上限がUP,,
ブラックアックス,火,斧,アンノウン・ATK II,0,175,2490,23,350,150,2130,アンノウン・ATK II,,武器属性キャラの攻撃力上昇(EX大),,武器属性キャラの攻撃力上昇(EX大),
アンノウンワンド,風,杖,アンノウン・VIT II,0,281,1970,35,275,240,1685,アンノウン・VIT II,,武器属性キャラの最大HP上昇(EX大),,武器属性キャラの最大HP上昇(EX大),
マルメテル・ハンマー,土,斧,アンノウン・ATK II,0,174,2495,22,360,148,2140,アンノウン・ATK II,,武器属性キャラの攻撃力上昇(EX大),,武器属性キャラの攻撃力上昇(EX大),
秘丹弥虚羅多包丁,水,短剣,アンノウン・ATK II,0,227,2240,33,300,195,1915,アンノウン・ATK II,,武器属性キャラの攻撃力上昇(EX大),,武器属性キャラの攻撃力上昇(EX大),
桃色の団扇,風,格闘,アンノウン・ATK II,0,231,2215,29,310,197,1900,アンノウン・ATK II,,武器属性キャラの攻撃力上昇(EX大),,武器属性キャラの攻撃力上昇(EX大),
三日月宗近,光,刀,天下五剣,三条宗近の作,176,2501,25,345,151,2142,天下五剣,,光属性キャラの攻撃力上昇(EX大),得意武器が「刀」のキャラの奥義ダメージ15%UP (上限1本),光属性キャラの攻撃力上昇(EX大),
鶴丸国永,水,刀,利無動,五条国永の作,178,2491,27,335,153,2132,利無動,,水属性キャラの攻撃力上昇(EX大),得意武器が「刀」のキャラの防御力15%UP,水属性キャラの攻撃力上昇(EX大),
和泉守兼定,火,刀,土方の愛刀,兼定の作,117,1706,0,0,0,0,0,0.0,火属性キャラの攻撃力上昇(EX中),弱体耐性UP　◆メイン装備時/主人公のみ,,
山姥切国広,土,刀,国広第一の傑作,堀川国広の作,120,1691,0,0,0,0,0,0.0,土属性キャラの攻撃力上昇(EX中),ダブルアタック確率上昇　◆メイン装備時/主人公のみ,,
陸奥守吉行,風,刀,龍馬の愛刀,陸奥守吉行の作,118,1701,0,0,0,0,0,0.0,風属性キャラの攻撃力上昇(EX中),奥義ダメージUP　◆メイン装備時/主人公のみ,,
骨喰藤四郎,闇,刀,足利宝剣,粟田口吉光の作,115,1716,0,0,0,0,0,0.0,闇属性キャラの攻撃力上昇(EX中),奥義ゲージ上昇量UP　◆メイン装備時/主人公のみ,,
封印の杖,闇,杖,闇の力を秘めし鍵,私だけの笑顔の魔法,270,2100,32,300,225,1750,闇の力を秘めし鍵,,闇属性キャラの攻撃力上昇(EX大),メイン装備時に闇属性キャラの回復上限上昇,闇属性キャラの攻撃力上昇(EX大),
スナップブレード,風,剣,肉削ぐ撓刃,立体機動戦術,158,2566,20,362,137,2199,0,0.0,風属性キャラの攻撃力上昇(EX大),防御力が下がる(30%)が連続攻撃確率UP(大)(DA、TA率約25%UP)　◆メイン装備時/主人公のみ,,
白銀の弓,風,弓,森林の祝福,森の民の知恵,211,2365,27,338,180,2027,0,0.0,風属性キャラの攻撃力上昇(EX大),主人公がアビリティを使用したターンに味方全体の攻撃力上昇(累積/最大5回)　◆メイン装備時,,
ルナのおともだち,闇,杖,おともだちになってくれる？,魂の共鳴,231,2073,31,308,220,1779,お友達になってくれる？,魂の共鳴,,戦闘不能のキャラ数に応じて味方全体の攻撃力上昇(最大5人)　◆メイン装備時,闇属性キャラの攻撃力上昇(EX大),戦闘不能のキャラ数に応じて味方全体の攻撃力上昇(最大5人)　◆メイン装備時
キック力増強シューズ,光,格闘,阿笠博士の発明品,必殺武器,230,2190,30,315,200,1880,0,0.0,光属性キャラの攻撃力上昇(EX大),光属性キャラのアビリティダメージUP,,
小型自動拳銃,風,銃,ウィーバースタンス,サイドアーム,160,2540,20,360,140,2180,0,0.0,風属性キャラの攻撃力上昇(EX大),オーバードライブ状態の敵にダブルアタック確率UP　◆メイン装備時/主人公のみ,,
万魔の銃,闇,銃,ザ・ファントム,トリックスター,170,2640,20,365,0,0,0,0.0,闇属性キャラの攻撃力上昇(EX中),オーバードライブ状態の敵にクリティカル確率UP　◆メイン装備時/主人公のみ,,
サンシャインブレード,水,短剣,サンシャイナー,輝きの道しるべ,230,2310,39,299,0,0,0,0.0,水属性キャラの攻撃力上昇(EX大),ダブルアタック確率UP効果が付与されている時、水属性追撃効果◆メイン装備時/主人公のみ,,
スクールバッグ,火,斧,スクールフレンズ,輝きを目指して,190,2580,29,329,0,0,0,0.0,火属性キャラの攻撃力上昇(EX大),弱体効果を受けていない時奥義ダメージUP　◆主人公のみ,,
レインボーブレス,光,格闘,プリズムストーンの力,虹色の光,240,2270,30,315,0,0,0,0.0,光属性キャラの攻撃力上昇(EX大),自分に活性効果　◆メイン装備時/主人公のみ,,
アイスクレイモア,水,剣,フローズン・ブレード,氷妖精の魔力,208,2448,29,320,0,0,0,0.0,水属性キャラの攻撃力上昇(EX大),ターン終了時に奥義ゲージUP(5%)　◆メイン装備時/主人公のみ,,
司法神の錫杖,光,杖,ジャスティス・ロッド,授かりし託宣,280,2070,42,253,0,0,0,0.0,光属性キャラの攻撃力上昇(EX大),自分の奥義性能UP　◆メイン装備時/主人公のみ,,
ブラフマンガントレ,火,格闘,機炎方陣・拳武,機炎方陣・見切,270,2550,35,362,229,2186,0,0.0,得意武器が「格闘」の火属性キャラの攻撃力上昇(大),火属性キャラが稀に回避カウンター(ダメージ中),,
ブラフマンシミター,火,剣,機炎方陣・無双,機炎方陣・守護,230,2730,30,387,198,2342,0,0.0,火属性キャラの攻撃力上昇(中)/ダブルアタック確率上昇(中),火属性キャラの最大HP上昇(中),,
ブラフマントライデント,火,槍,機炎方陣・攻刃,機炎方陣・破壊,280,2500,37,355,238,2142,0,0.0,火属性キャラの攻撃力上昇(中),火属性キャラのトリプルアタック確率上昇(小),,
テュロスワンド,水,杖,海神方陣・杖術,イクシード・ウォータ,310,2320,45,313,268,1989,0,0.0,得意武器が「杖」の水属性キャラの攻撃力上昇(大),水属性キャラの奥義ダメージ上限上昇,,
テュロスボウ,水,弓,海神方陣・乱舞,0,250,2700,36,365,214,2311,海神方陣・乱舞,,水属性キャラの攻撃力上昇(中)/トリプルアタック確率上昇(小),,水属性キャラの攻撃力上昇(中)/トリプルアタック確率上昇(小),
テュロスビネット,水,楽器,海神方陣・攻刃,海神方陣・必殺,260,2390,65,322,226,2044,0,0.0,水属性キャラの攻撃力上昇(中),水属性キャラの奥義ダメージUP(中)/奥義ダメージ上限上昇(中),,
ニーベルン・メッサー,土,短剣,創樹方陣・背水,イクシード・アース,260,2590,37,354,223,2216,0,0.0,土属性キャラのHPが少ないほど攻撃力が上昇(小),土属性キャラの奥義ダメージ上限上昇,,
ニーベルン・ホルン,土,斧,創樹方陣・渾身,創樹方陣・技巧,210,2850,30,390,179,2438,創樹方陣・渾身,創樹方陣・技巧II,土属性キャラのHPが多いほど攻撃力が上昇(中),,土属性キャラのHPが多いほど攻撃力が上昇(中),土属性キャラのクリティカル確率上昇(大)
ニーベルン・クリンゲ,土,刀,創樹方陣・攻刃II,創樹方陣・不可侵,200,2890,30,395,175,2471,0,0.0,土属性キャラの攻撃力上昇(大),土属性キャラが稀に回避カウンター(ダメージ小)/最大HP上昇(小),,
ラストストームブレイド,風,刀,嵐竜方陣・軍神,嵐竜方陣・星晶,200,2900,28,405,173,2481,0,0.0,風属性キャラの最大HP上昇(小)/ダブルアタック確率上昇(小),風属性キャラの星晶獣の攻撃力上昇(中),,
ラストストームハープ,風,楽器,嵐竜方陣・渾身,嵐竜方陣・技巧II,260,2400,62,337,223,2059,0,0.0,風属性キャラのHPが多いほど攻撃力が上昇(中),風属性キャラのクリティカル確率上昇(大),,
ラストストームランス,風,槍,嵐竜方陣・攻刃,嵐竜方陣・暴風,280,2490,38,350,239,2137,0,0.0,風属性キャラの攻撃力上昇(中),経過ターンに応じて風属性キャラの連続攻撃確率上昇,,
ミトロンの籠手,光,格闘,騎解方陣・見切,先制の白の結界,270,2540,37,352,0,0,0,0.0,光属性キャラが稀に回避カウンター(ダメージ中),バトル開始時、光属性キャラにバリア効果,,
ミトロンの宝剣,光,短剣,騎解方陣・刹那,騎解方陣・背水,260,2590,36,359,0,0,0,0.0,光属性キャラの攻撃力上昇(小)/クリティカル確率上昇(小),光属性キャラのHPが少ないほど攻撃力が上昇(小),,
ミトロンの弓,光,弓,騎解方陣・渾身,騎解方陣・意志,250,2710,34,375,0,0,0,0.0,光属性キャラのHPが多いほど攻撃力が上昇(中),光属性キャラが稀に回避カウンター(ダメージ中)/クリティカル確率上昇(中),,
アビスストライカー,闇,斧,黒霧方陣・背水,黒霧方陣・括目,200,2870,25,415,174,2463,0,0.0,闇属性キャラのHPが少ないほど攻撃力が上昇(小),闇属性キャラが稀に回避カウンター(ダメージ大)/ダブルアタック確率上昇(小),,
アビスルック,闇,銃,黒霧方陣・攻刃,黒霧方陣・克己,190,2940,23,424,163,2518,0,0.0,闇属性キャラの攻撃力上昇(中),闇属性キャラのダブルアタック確率上昇(中)/クリティカル確率上昇(中),,
アビススパイン,闇,杖,黒霧方陣・神威II,黒霧方陣・必殺,310,2350,39,343,262,2019,0,0.0,闇属性キャラの攻撃力と最大HPが上昇(中),,,
スコフニュング,−,剣,不屈なる忠義救世の聖剣,0,244,2810,35,377,207,2385,不屈なる忠義,救世の聖剣,,,,
アシュケロン,−,剣,征伐の剣深紅の支配者,0,240,2830,31,397,203,2405,征伐の剣,深紅の支配者,,,,
イペタム,−,短剣,混沌より出ずる暴食殺業の凶刃,0,265,2710,33,389,224,2301,混沌より出ずる暴食,殺業の凶刃,,,,
ファウスト,−,短剣,森羅万象の理禁忌の錬成,0,270,2680,38,364,229,2276,森羅万象の理,禁忌の錬成,,,,
ミセリコルデ,−,短剣,宵闇の住人奸凶の牙,0,270,2690,36,375,227,2285,宵闇の住人,奸凶の牙,,,,
ロムルスの槍,−,槍,深淵を照らす光明軍神の聖槍,0,290,2580,40,354,246,2189,深淵を照らす光明,軍神の聖槍,,,,
アヴェンジャー,−,斧,剣聖の英魂覇王の恐惶,0,213,2960,28,416,180,2519,剣聖の英魂,覇王の恐惶,,,,
ニルヴァーナ,−,杖,悟りの境地輪廻転生,0,322,2420,44,332,274,2053,悟りの境地,輪廻転生,,,,
ケラウノス,−,杖,雷鳴の轟き天変地異,0,265,2570,66,336,231,2105,雷鳴の轟き,天変地異,,,,
カピラヴァストゥ,−,杖,叡智の門葬られし言の葉,0,320,2410,46,320,276,2040,叡智の門,葬られし言の葉,,,,
オリバー,−,銃,謀略と策謀の知恵一攫千金,0,200,3030,27,420,170,2571,謀略と策謀の知恵,一攫千金,,,,
ネブカドネザル,−,銃,繚乱の死神穢れなき手向け,0,244,3260,24,435,167,2585,繚乱の死神,穢れなき手向け,,,,
鬼神の籠手,−,格闘,破壊を齎す強心強者の余裕,0,277,2640,36,372,235,2245,破壊を齎す強心,強者の余裕,,,,
ローゼンボーゲン,−,弓,舞うは嵐の針山の如し戦場の災禍,0,256,2810,34,391,217,2388,舞うは嵐の針山の如し,戦場の災禍,,,,
ランゲレイク,−,楽器,失われし聖賢の譜享楽の遊宴,0,266,2480,67,331,232,2100,失われし聖賢の譜,享楽の遊宴,,,,
天叢雲剣,−,刀,天つ空なる明星の御霊大蛇の神刀,0,211,3000,30,411,179,2543,天つ空なる明星の御霊,大蛇の神刀,,,,
千子村正,−,刀,九字護身法冥暗の妖刀,0,207,3020,26,431,175,2563,九字護身法,冥暗の妖刀,,,,
エクスカリバー,-,剣,火 紅蓮の堅守水 霧氷の堅守土 地裂の堅守風 乱気の堅守光 天光の堅守闇 奈落の堅守,王道を征く者,0,0,0,0,0,0,0,0.0,,,,
ダマスカスナイフ,-,短剣,仄暗い稼業,引き際の心得,0,0,0,0,0,0,0,0.0,,,,
ゲイボルグ,-,槍,必勝の誓い,一刺一殺,0,0,0,0,0,0,0,0.0,,,,
ミョルニル,-,斧,火 紅蓮の攻刃水 霧氷の攻刃土 地裂の攻刃風 乱気の攻刃光 天光の攻刃闇 奈落の攻刃,戦神の打擲,0,0,0,0,0,0,0,0.0,,,,
カドゥケウス,-,杖,火 火の神威水 水の神威土 土の神威風 風の神威光 光の神威闇 闇の神威,窮地の救い手,0,0,0,0,0,0,0,0.0,,,,
フライクーゲル,-,銃,火 紅蓮の暴君水 霧氷の暴君土 地裂の暴君風 乱気の暴君光 天光の暴君闇 奈落の暴君,好機到来,0,0,0,0,0,0,0,0.0,,,,
方天画戟,-,格闘,剛技の代償,万物を砕く剛技,0,0,0,0,0,0,0,0.0,,,,
ヘラクレス,-,弓,火 業火の克己水 渦潮の克己土 大地の克己風 竜巻の克己光 雷電の克己闇 憎悪の克己,不死をも殺す神弓,0,0,0,0,0,0,0,0.0,,,,
ウルリクムミ,-,楽器,火 紅蓮の括目水 霧氷の括目土 地裂の括目風 乱気の括目光 天光の括目闇 奈落の括目,流行詩歌,0,0,0,0,0,0,0,0.0,,,,
天羽々斬,-,刀,火 業火の刹那水 渦潮の刹那土 大地の刹那風 竜巻の刹那光 雷電の刹那闇 憎悪の刹那,戮蛇の神刀,0,0,0,0,0,0,0,0.0,,,,
エリクトニオス,火,槍,紅蓮の暴君,紅蓮の三手,278,2500,37,355,238,2142,0,0.0,火属性キャラの攻撃力上昇(大)/火属性キャラの最大HP-10%,火属性キャラの連続攻撃確率上昇(大),,
パラスの剣,火,剣,紅蓮の攻刃,業火の守護,232,2734,30,387,198,2342,0,0.0,火属性キャラの攻撃力上昇(大),火属性キャラの最大HP上昇(中),,
シグルズの弓,水,弓,先制の氷刃,霧氷の攻刃,250,2701,36,365,214,2311,先制の氷刃,渦潮の攻刃,バトル開始時から8ターンの間水属性キャラの攻撃力上昇,水属性キャラの攻撃力上昇(大),バトル開始時から8ターンの間水属性キャラの攻撃力上昇,水属性キャラの攻撃力上昇(中)
ヴィルヘルム,水,格闘,霧氷の暴君,渦潮の技巧,273,2527,40,337,234,2161,0,0.0,水属性キャラの攻撃力上昇(大)/水属性キャラの最大HP-10%,水属性攻撃で弱点を突いた時、クリティカル確率上昇(中),,
ソロモンドライブ,土,斧,地裂の攻刃,土の背水,209,2849,30,390,179,2438,0,0.0,土属性キャラの攻撃力上昇(大),土属性キャラのHPが少ないほど攻撃力が上昇(小),,
マイムールヴィジョン,土,銃,地裂の暴君,大地の克己,196,2913,28,399,168,2493,0,0.0,土属性キャラの攻撃力上昇(大)/土属性キャラの最大HP-10%,土属性キャラのダブルアタック確率上昇(中)/弱点を突いた時クリティカル確率上昇(中),,
インドラリム,風,弓,竜巻の刹那,乱気の堅守,0,0,33,380,211,2326,0,0.0,風属性キャラの攻撃力上昇(中)/弱点を突いた時クリティカル確率上昇(中),風属性キャラのHPが低いほど防御UP,,
スパルナフェザー,風,短剣,風の治癒,乱気の攻刃II,0,0,35,364,221,2226,風の治癒,乱気の攻刃,風属性キャラの回復上限上昇(小),風属性キャラの攻撃力上昇(大),風属性キャラの回復上限上昇(小),風属性キャラの攻撃力上昇(大)
グングニル,光,槍,雷電の攻刃,雷電の克己,280,2490,39,345,240,2132,0,0.0,光属性キャラの攻撃力上昇(中),光属性キャラのダブルアタック確率上昇(中)/弱点を突いた時クリティカル確率上昇(中),,
スレイプニルシュー,光,楽器,雷電の背水,天光の堅守,0,0,63,332,224,2054,光の背水,天光の堅守,光属性キャラのHPが少ないほど攻撃力が上昇(中),光属性キャラのHPが低いほど防御UP,光属性キャラのHPが少ないほど攻撃力が上昇(小),光属性キャラのHPが低いほど防御UP
ブラック・アンド・ダークネス,闇,杖,奈落の攻刃II,先制の黒の結界,307,2355,39,343,262,2019,奈落の攻刃,先制の黒の結界,,バトル開始時、闇属性キャラにバリア効果,闇属性キャラの攻撃力上昇(大),バトル開始時、闇属性キャラにバリア効果
サンダー・オブ・ファントム,闇,銃,奈落の括目,憎悪の神威,0,0,23,424,163,2518,奈落の括目,憎悪の守護,闇属性キャラ属性キャラが稀に回避カウンター(ダメージ大)/闇属性キャラのダブルアタック確率上昇（小）,闇属性キャラの攻撃力と最大HPが上昇(中),闇属性キャラ属性キャラが稀に回避カウンター(ダメージ大)/闇属性キャラのダブルアタック確率上昇（小）,闇属性キャラの最大HP上昇(中)
ハツオイイルハル,風,短剣,イクシード・ウィンド,乱気の背水,270,2700,35,365,0,0,0,0.0,風属性キャラの奥義ダメージ上限上昇,風属性キャラのHPが少ないほど攻撃力が上昇(大),,
マジェスタス,闇,杖,憎悪の堅守,憎悪の神威,320,2440,40,345,0,0,0,0.0,闇属性キャラのHPが少ないほど防御力上昇(中),闇属性キャラの攻撃力と最大HPが上昇(中),,
虚空の裂剣,闇,剣,虚脱の隻翼,災禍の誓約,260,3140,0,0,0,0,0,0.0,,,,
虚空の楔槍,火,槍,虚栄の矛戟,不壊の誓約,320,2870,0,0,0,0,0,0.0,,,,
虚空の晶塊,土,斧,虚勢の巌,修羅の誓約,240,3270,0,0,0,0,0,0.0,,,,
虚空の拝腕,水,杖,虚飾の隻腕,凱歌の誓約,360,2660,0,0,0,0,0,0.0,,,,
虚空の歪弦,光,弓,虚像の鋒鏑,致命の誓約,280,3120,0,0,0,0,0,0.0,,,,
バハムートソード・フツルス,闇,剣,コンキリオ・イグニス,0,240,2885,30,415,0,0,コンキリオ・イグニス,,,,,
バハムートダガー・フツルス,闇,短剣,コンキリオ・ウェントス,0,268,2750,34,395,0,0,コンキリオ・ウェントス,,,,,
バハムートスピア・フツルス,闇,槍,コンキリオ・コルヌ,0,290,2640,37,380,0,0,コンキリオ・コルヌ,,,,,
バハムートアクス・フツルス,闇,斧,コンキリオ・テラ,0,214,3015,26,435,0,0,コンキリオ・テラ,,,,,
バハムートスタッフ・フツルス,闇,杖,コンキリオ・インベル,0,323,2475,41,360,0,0,コンキリオ・インベル,,,,,
バハムートマズル・フツルス,闇,銃,コンキリオ・アルボス,0,200,3085,24,445,0,0,コンキリオ・アルボス,,,,,
バハムートナックル・フツルス,闇,格闘,ヒュムアニムス・メンス,ヒュムアニムス・ビス,280,2690,35,390,0,0,0,0.0,,,,
バハムートボウ・フツルス,闇,弓,エルンアニムス・メンス,エルンアニムス・ビス,256,2870,32,415,0,0,0,0.0,,,,
バハムートハープ・フツルス,闇,楽器,ハヴンアニムス・メンス,ハヴンアニムス・ビス,264,2545,63,370,0,0,0,0.0,,,,
バハムートブレイド・フツルス,闇,刀,ドーラアニムス・メンス,ドーラアニムス・ビス,209,3060,26,440,0,0,0,0.0,,,,
ヘルムヴィーゲ,　,槍,雲水の賦性,雲水の資質,332,2950,40,354,0,0,0,0.0,,,,
ベルセルク・オクス,-,斧,狂戦士の賦性,狂戦士の資質,244,3380,28,416,0,0,0,0.0,,,,
聖者の行進,-,杖,聖者の賦性,聖者の資質,368,2770,44,332,0,0,0,0.0,,,,
デモンズシャフト,-,杖,魔人の賦性,魔神の資質,298,2940,66,336,0,0,0,0.0,,,,
浄瑠璃,-,銃,大盗の賦性,大盗の資質,229,3465,27,420,0,0,0,0.0,,,,
チャンピオンベルト,-,格闘,格闘王の賦性,格闘王の資質,317,3015,36,372,0,0,0,0.0,,,,
メース,-,弓,猟犬の賦性,猟犬の資質,293,3210,34,391,0,0,0,0.0,,,,
シャンゼリゼ,-,楽器,楽聖の賦性,楽聖の資質,299,2840,67,331,0,0,0,0.0,,,,
無銘金重,-,刀,剣豪の賦性,剣豪の資質,241,3435,30,411,0,0,0,0.0,,,,
テトラストリーマ,-,刀,四元の賦性,四元の資質,237,3455,26,431,0,0,0,0.0,,,,
マッドネスシリンジ,-,銃,医術の賦性,医術の資質,309,3065,38,364,0,0,0,0.0,,,,
真・道天浄土,光,剣,妃光の覇道,道天の眩耀,210,2739,29,380,0,0,0,0.0,光属性キャラの攻撃力上昇(EX特大),主人公の残りHPが多いほど味方全体の攻撃が大きくUP ◆メイン装備時,,
ラスト・シャフレワル,土,剣,裁考の覇道,裁考天の啓示,232,2611,39,391,0,0,0,0.0,土属性キャラの攻撃力上昇(EX特大),被ダメージ時に自分に与ダメージ上昇効果(累積/最大5回)◆メイン装備時/主人公のみ,,
真・黄木天の箭,風,槍,人馬の覇道,黄木天の箭,271,2427,37,340,0,0,0,0.0,風属性キャラの攻撃力上昇(EX特大),毎ターン連続攻撃確率UP ◆メイン装備時/主人公のみ/被ダメージで解除,,
真・灼滅天の刃鎌,火,斧,灼滅の覇道,灼滅の赤爪,199,2795,25,400,0,0,0,0.0,火属性キャラの攻撃力上昇(EX特大),敵が灼熱状態の時、通常攻撃と奥義に追加ダメージ　◆メイン装備時/主人公のみ,,
真・氷逆天の戦棍,水,杖,氷逆の覇道,氷逆天の凍翼,303,2270,43,310,0,0,0,0.0,水属性キャラの攻撃力上昇(EX特大),HPが高い程奥義ダメージUP◆メイン装備時/主人公のみ,,
真・裁考天の鳴弦,土,楽器,裁考の覇道,裁考天の教理 ,250,2329,63,318,0,0,0,0.0,土属性キャラの攻撃力上昇(EX特大),,,
真・普天幻魔,闇,刀,幻魔の覇道,普天の怨鎖,193,2835,24,410,0,0,0,0.0,闇属性キャラの攻撃力上昇(特大),幻影状態の時、連続攻撃確率UP/回避率UP　◆メイン装備時/主人公のみ,,
極マリシ烈火ノ太刀,火,刀,灼滅の覇道,灼滅天の憤怒,196,2825,26,400,0,0,0,0.0,火属性キャラの攻撃力上昇(EX特大),被ダメージ時、ターン終了時に敵全体に火属性ダメージ　◆発動するたびに性能UP/メイン装備時/主人公のみ,,
