name,attribute,species,rank,f_skill,s_skill,minhp,minatk,maxhp1,maxatk1,f_skill_effect,s_skill_effect
ホワイトホーク,水,銃,10,霧氷の括目,渦潮の攻刃,35,424,206.0,2556.0,水属性キャラ属性キャラが稀に回避カウンター(ダメージ大)/水属性キャラのダブルアタック確率上昇（小）,水属性キャラの攻撃力上昇(中)
イシュタル,闇,銃,10,奈落の攻刃,憎悪の秘奥,25,475,170.0,2740.0,闇属性キャラの攻撃力上昇(大),闇属性キャラの奥義ダメージUP(中)
ミーティアライト,光,銃,10,トラフィックエナジー,ワンタイムヴィジョン,15,385,135.0,2205.0,光属性キャラの攻撃力上昇(EX大),自分のHPが半分以下の時、一度だけターン終了時に幻影効果(3回)　◆主人公のみ
マナウィダンガントレ,水,格闘,10,霧氷の守護,,34,295,202.0,1880.0,水属性キャラの最大HP上昇(大),
六崩拳,光,格闘,6,天光の攻刃,,38,360,236.0,2220.0,光属性キャラの攻撃力上昇(大),
六崩拳・真,光,格闘,10,天光の攻刃,,40,400,240.0,2340.0,光属性キャラの攻撃力上昇(大),
マモーナスグローブ,風,格闘,10,乱気の守護,,31,310,199.0,1890.0,風属性キャラの最大HP上昇(大),
ギガントナックル,光,格闘,15,天光の攻刃,,33,310,203.0,1910.0,光属性キャラの攻撃力上昇(大),
リスレット,光,格闘,10,ストレングス,,33,300,201.0,1880.0,武器属性キャラの攻撃力上昇(EX大),
ストリートファイト,水,格闘,1,ストリートファイター,セービングアタック,33,285,196.0,1820.0,メイン装備時にスキンがストリートファイターに変わる,水属性キャラの攻撃力上昇(EX大)
シザーハンズ,闇,格闘,10,憎悪の攻刃,闇の守護,21,360,150.0,2140.0,闇属性キャラの攻撃力上昇(中),闇属性キャラの最大HP上昇(小)
オールド・オベロン,水,格闘,60,海神方陣・神威,海神方陣・克己,39,342,233.0,2166.0,水属性キャラの攻撃力と最大HPが上昇(小),水属性キャラのダブルアタック確率上昇(中)/弱点を突いた時クリティカル確率上昇(中)
オベロン,水,格闘,60,水の神威,渦潮の克己,39,342,233.0,2166.0,水属性キャラの攻撃力と最大HPが上昇(小),水属性キャラのダブルアタック確率上昇(中)/弱点を突いた時クリティカル確率上昇(中)
毒手,土,格闘,10,Vスキル,,36,290,204.0,1860.0,土属性キャラの攻撃力上昇(EX大),
マグマガントレット,火,格闘,15,紅蓮の攻刃,火の見切,40,410,252.0,2400.0,火属性キャラの攻撃力上昇(大),火属性キャラ属性キャラが稀に回避カウンター(ダメージ小)
エンシェントバンテージ,土,格闘,10,地裂の背水,土の二手,43,385,251.0,2345.0,土属性キャラのHPが少ないほど攻撃力が上昇(大),土属性キャラのダブルアタック確率上昇(小)
リボン,闇,格闘,10,奈落の背水,闇の攻刃,37,410,245.0,2365.0,闇属性キャラのHPが少ないほど攻撃力が上昇(大),闇属性キャラの攻撃力上昇(小)
天華簪,火,格闘,10,紅蓮の攻刃,火の二手,41,390,253.0,2325.0,火属性キャラの攻撃力上昇(大),火属性キャラのダブルアタック確率上昇(小)
スヴァルガントレット,火,格闘,10,半獣の咆哮,炎の背骨,31,310,197.0,1900.0,敵の攻撃行動のターゲットになった場合にダブルアタック確率UP(累積)/敵対心UP◆メイン装備時/主人公のみ,火属性キャラの攻撃力上昇(EX大)
グローブ・オブ・ウリエル,土,格闘,30,ウリエルの祝福II,土の神威,35,390,240.0,2300.0,土属性のキャラが水属性の敵に対して与ダメージUP,土属性キャラの攻撃力と最大HPが上昇(小)
メタルハンド,水,格闘,10,霧氷の暴君,水の技巧,42,390,250.0,2350.0,水属性キャラの攻撃力上昇(大)/水属性キャラの最大HP-10%,水属性攻撃で弱点を突いた時、クリティカル確率上昇(小)
ディアドリッククロー,風,格闘,10,乱気の背水,風の技巧,41,391,250.0,2340.0,風属性キャラのHPが少ないほど攻撃力が上昇(大),風属性攻撃で弱点を突いた時、クリティカル確率上昇(小)
ローズクリスタルクロー,土,格闘,60,橙薔薇の髄,橙薔薇の蕾,40,360,235.0,2200.0,,
ウーチンフィスト,火,格闘,10,棘皮,叉棘,30,310,200.0,1885.0,メイン装備時味方全体の防御力上昇,火属性キャラの攻撃力上昇(EX大)
トレピリ,水,格闘,10,霧氷の技巧,渦潮の二手,50,346,274.0,2224.0,水属性攻撃で弱点を突いた時、クリティカル確率上昇(大),水属性キャラのダブルアタック確率上昇(中)
ドラグクロー,火,格闘,10,業火の刹那,火の秘奥,30,441,207.0,2571.0,火属性キャラの攻撃力上昇(中)/弱点を突いた時クリティカル確率上昇(中),火属性キャラの奥義ダメージUP(小)
ゴシックカトラリー,光,格闘,10,雷電の無双,光の二手,36,412,219.0,2469.0,光属性キャラの攻撃力上昇(中)/ダブルアタック確率上昇(中),光属性キャラのダブルアタック確率上昇(小)
天干地支爪・戌之飾,水,格闘,10,霧氷の攻刃,渦潮の二手,41,390,250.0,2339.0,水属性キャラの攻撃力上昇(大),水属性キャラのダブルアタック確率上昇(中)
デスハンド,闇,格闘,10,超壊獣デスパワーZ,ダークデスフィスト,30,313,190.0,1935.0,闇闇属性キャラの攻撃力上昇(EX大),闇カウンター発動中敵対心UP/カウンターダメージ上昇　◆メイン装備時/主人公のみ
ネコパンチ・プロ,土,格闘,10,大地の刹那,大地の二手,33,416,218.0,2499.0,土属性キャラの攻撃力上昇(中)/弱点を突いた時クリティカル確率上昇(中),土属性キャラのダブルアタック確率上昇(中)
二王弓,光,弓,2,天光の攻刃,,35,385,217.0,2370.0,光属性キャラの攻撃力上昇(大),
二王弓・真,光,弓,10,天光の攻刃,,38,420,230.0,2510.0,光属性キャラの攻撃力上昇(大),
オールド・アルテミス,光,弓,60,騎解方陣・括目,騎解方陣・守護II,34,375,212.0,2321.0,光属性キャラ属性キャラが稀に回避カウンター(ダメージ大)/光属性キャラのダブルアタック確率上昇（小）,光属性キャラの最大HP上昇(大)
アルテミス,光,弓,60,天光の括目,雷電の守護,34,375,212.0,2321.0,光属性キャラ属性キャラが稀に回避カウンター(ダメージ大)/光属性キャラのダブルアタック確率上昇（小）,光属性キャラの最大HP上昇(中)
扇抜,水,弓,15,防戦の心得,防戦の技能,32,320,188.0,2030.0,,
ヴェローナボウ,水,弓,10,霧氷の守護,先制の青の結界,33,310,188.0,1990.0,水属性キャラの最大HP上昇(大),バトル開始時、水属性キャラにバリア効果
マシン・ボウ,土,弓,10,オーバードロー,ポイント・オブ・エイム,30,320,186.0,2000.0,メイン装備時味方全体のアビリティダメージUP/アビリティダメージ上限UP,土属性キャラの攻撃力上昇(EX大)
天干地支弓・酉之飾,土,弓,20,地裂の攻刃,大地の技巧,40,430,238.0,2585.0,土属性キャラの攻撃力上昇(大),土属性攻撃で弱点を突いた時、クリティカル確率上昇(中)
リング・オブ・ラファエル,風,弓,30,ラファエルの祝福II,風の神威,31,420,220.0,2460.0,風属性のキャラが土属性の敵に対して与ダメージUP,風属性キャラの攻撃力と最大HPが上昇(小)
ローズクリスタルボウ,火,弓,60,紅薔薇の髄,紅薔薇の蕾,33,370,215.0,2250.0,,
イーリアスボウ,光,弓,60,天光の渾身,雷電の二手,34,375,212.0,2321.0,光属性キャラのHPが多いほど攻撃力が上昇(大),光属性キャラのダブルアタック確率上昇(中)
シャローム・ボウ,闇,弓,10,紫水の至恩,紫水の光輝,25,345,180.0,2030.0,闇属性キャラの弱体成功率UP,闇属性キャラの攻撃力上昇(EX大)
ガーンディーヴァ,土,弓,20,大地の無双,土の秘奥,37,441,228.0,2623.0,土属性キャラの攻撃力上昇(中)/ダブルアタック確率上昇(中),土属性キャラの奥義ダメージUP(小)
アルジュナン・ボウ,火,弓,10,業火の克己,火の秘奥,35,430,230.0,2525.0,火属性キャラのダブルアタック確率上昇(中)/弱点を突いた時クリティカル確率上昇(中),火属性キャラの奥義ダメージUP(小)
太歳精弓,水,弓,40,霧氷の攻刃II,,50,420,300.0,2500.0,水属性キャラの攻撃力上昇(大),
悪滅の雷,火,弓,40,紅蓮の必殺,,32,508,242.0,2800.0,火属性キャラの奥義ダメージUP(大)/奥義ダメージ上限上昇(大),
オーシャンハープ,水,楽器,10,霧氷の守護,,73,360,245.0,2210.0,水属性キャラの最大HP上昇(大),
九界琴,光,楽器,9,天光の攻刃,,65,340,228.0,2100.0,光属性キャラの攻撃力上昇(大),
九界琴・真,光,楽器,10,天光の攻刃,,71,370,243.0,2220.0,光属性キャラの攻撃力上昇(大),
ブランウェンハープ,水,楽器,10,霧氷の攻刃,,57,275,196.0,1770.0,水属性キャラの攻撃力上昇(大),
エスカラスハープ,火,楽器,10,紅蓮の守護,,53,295,192.0,1790.0,火属性キャラの最大HP上昇(大),
アネモイの銀琴,風,楽器,40,修練の心得,,59,320,211.0,1950.0,獲得経験値UP(5%) ※祝福の鐘音と併用可。アルビオン流鍛錬と併用不可,
カエールベル,風,楽器,10,アンノウン・ATK II,,55,290,195.0,1785.0,武器属性キャラの攻撃力上昇(EX大),
スノウリィメビウス,光,楽器,10,天光の攻刃,地裂の攻刃,70,370,242.0,2210.0,光属性キャラの攻撃力上昇(大),土属性キャラの攻撃力上昇(大)
オールド・ペルセウス,土,楽器,60,創樹方陣・神威,創樹方陣・羅刹,65,322,226.0,2044.0,土属性キャラの攻撃力と最大HPが上昇(小),土属性キャラの攻撃力上昇（中）/ダブルアタック確率DOWN
ペルセウス,土,楽器,60,土の神威,大地の羅刹,65,322,226.0,2044.0,土属性キャラの攻撃力と最大HPが上昇(小),土属性キャラの攻撃力上昇(中)/ダブルアタック確率DOWN
ゴールデンブロッサム,光,楽器,10,雷電の攻刃,光の守護,55,290,195.0,1785.0,光属性キャラの攻撃力上昇(中),光属性キャラの最大HP上昇(小)
西風の竪琴,風,楽器,10,西風のクレシェンド,西風のラプソディ,52,300,190.0,1800.0,メイン装備時味方全体の弱体成功率UP,風属性キャラの攻撃力上昇(EX大)
ドミニオンハープ,光,楽器,10,聖なる守護,天の福音,53,278,188.0,1727.0,メイン装備時味方全体の防御力UP/弱体耐性UP,光属性キャラの攻撃力上昇(EX大)
フュージョンメビウス,光,楽器,10,天光の攻刃,光の秘奥,69,375,240.0,2225.0,光属性キャラの攻撃力上昇(大),光属性キャラの奥義ダメージUP(小)
ベッラ・アエテルヌス,土,楽器,10,地裂の攻刃,大地の治癒,75,355,260.0,2130.0,土属性キャラの攻撃力上昇(大),土属性キャラの回復上限上昇(中)
ハッピーエンドベル,風,楽器,10,乱気の技巧,先制の雲壁,75,350,250.0,2170.0,風属性攻撃で弱点を突いた時、クリティカル確率上昇(大),バトル開始時から8ターンの間風属性キャラの防御力上昇
ローズクリスタルハープ,水,楽器,60,蒼薔薇の髄,蒼薔薇の蕾,40,360,240.0,2120.0,,
キタラアングリカ,風,楽器,10,乱気の攻刃,竜巻の治癒,72,329,282.0,2013.0,風属性キャラの攻撃力上昇(大),風属性キャラの回復上限上昇(中)
ルネサンス・ハープ,土,楽器,10,フォルテ・スオーノ,優美な弦楽器,53,298,175.0,1872.0,土属性キャラの攻撃力上昇(EX大),睡眠状態の敵に対して奥義ダメージUP　◆メイン装備時
ゴールデンベル,火,楽器,10,テイスティーズグッド,火の治癒,55,293,194.0,1780.0,火属性キャラの攻撃力上昇(EX大),火属性キャラの回復上限上昇(小)
八命切,光,刀,8,天光の攻刃,,30,410,178.0,2530.0,光属性キャラの攻撃力上昇(大),
八命切・真,光,刀,10,天光の攻刃,,33,413,188.0,2675.0,光属性キャラの攻撃力上昇(大),
ニバンボシ,闇,刀,10,ストレングス,,22,360,148.0,2160.0,武器属性キャラの攻撃力上昇(EX大),
太刀魚,水,刀,10,渦潮の攻刃,水の守護,27,335,153.0,2140.0,水属性キャラの攻撃力上昇(中),水属性キャラの最大HP上昇(小)
三日月,闇,刀,10,奈落の背水,闇の技巧,28,465,184.0,2695.0,闇属性キャラのHPが少ないほど攻撃力が上昇(大),闇属性攻撃で弱点を突いた時、クリティカル確率上昇(小)
天干地支刀・申之飾,光,刀,20,天光の攻刃,光の二手,32,465,194.0,2770.0,光属性キャラの攻撃力上昇(大),光属性キャラのダブルアタック確率上昇(小)
剣聖の袋竹刀,土,刀,20,地裂の守護,防戦の忍耐,26,345,154.0,2170.0,土属性キャラの最大HP上昇(大),
レッド・サン,火,刀,10,ミフネ流剣法・極意,ミフネ流剣法・双星,24,355,150.0,2150.0,火属性キャラの攻撃力上昇(EX大)/火属性キャラの最大HP-7%,火属性キャラのダブルアタック確率UP（EX小）
雷切,水,刀,10,霧氷の攻刃,紅蓮の攻刃,33,440,189.0,2660.0,水属性キャラの攻撃力上昇(大),火属性キャラの攻撃力上昇(大)
木太刀,土,刀,10,地裂の攻刃,,25,345,151.0,2140.0,土属性キャラの攻撃力上昇(大),
スノー・フレーク,水,刀,10,聖夜の瑞雪,,26,340,151.0,2150.0,メイン装備時アイテムドロップ率UP,
河豚毒,風,刀,10,我流の太刀筋,我流の極地,23,356,148.0,2155.0,風属性キャラの攻撃力上昇(EX大),風属性攻撃で弱点を突いた時稀に大ダメージのクリティカルが発生　◆メイン装備時/主人公のみ
チチウシ,光,刀,10,大自然の摂理,大自然の加護,26,340,153.0,2130.0,光属性キャラの攻撃力上昇(EX中),奥義ゲージ上昇量UP　◆メイン装備時/主人公のみ
シネンシス,風,刀,10,乱気の攻刃,不死身の竜血,29,460,180.0,2715.0,風属性キャラの攻撃力上昇(大),メイン装備時に主人公のみ再生効果
十六夜,水,刀,10,霧氷の攻刃,水の秘奥,28,466,184.0,2686.0,水属性キャラの攻撃力上昇(大),水属性キャラの奥義ダメージUP(小)
武王の鉄剣,火,刀,10,狐火の光炎,狐火の閃揺,25,355,150.0,2150.0,敵が灼熱状態の時、通常攻撃に火属性追撃効果　◆メイン装備時/主人公のみ,火属性キャラの攻撃力上昇(EX大)
ギガントスライサー,闇,刀,10,奈落の攻刃,闇の二手,30,455,180.0,2710.0,闇属性キャラの攻撃力上昇(大),闇属性キャラのダブルアタック確率上昇(小)
一期一振,土,刀,40,地裂の攻刃II,,42,454,214.0,2900.0,土属性キャラの攻撃力上昇(大),
バハムートソード・ノヴム,闇,剣,80,コンキリオ・ルーベル,,30,415,205.0,2470.0,,
バハムートダガー・ノヴム,闇,短剣,80,ヒュムアニムス・ウィス,,34,395,229.0,2355.0,,
バハムートスピア・ノヴム,闇,槍,80,エルンアニムス・ウィス,,37,380,248.0,2260.0,,
バハムートアクス・ノヴム,闇,斧,80,ドーラアニムス・ウィス,,26,435,183.0,2585.0,,
バハムートスタッフ・ノヴム,闇,杖,80,コンキリオ・ケルレウス,,41,360,276.0,2120.0,,
バハムートマズル・ノヴム,闇,銃,80,ハヴンアニムス・ウィス,,24,445,171.0,2645.0,,
バハムートナックル・ノヴム,闇,格闘,80,ヒュムアニムス・メンス,,35,390,239.0,2305.0,,
バハムートボウ・ノヴム,闇,弓,80,エルンアニムス・メンス,,32,415,219.0,2460.0,,
バハムートハープ・ノヴム,闇,楽器,80,ハヴンアニムス・メンス,,63,370,231.0,2180.0,,
バハムートブレイド・ノヴム,闇,刀,80,ドーラアニムス・メンス,,26,440,179.0,2620.0,,
ソード・オブ・コスモス,光,剣,80,ソード・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,34,398,211.0,2458.0,,
ダガー・オブ・コスモス,光,短剣,80,ダガー・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,38,379,234.0,2341.0,,
ランス・オブ・コスモス,光,槍,80,ランス・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,41,364,253.0,2247.0,,
サイス・オブ・コスモス,光,斧,80,サイス・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,30,417,187.0,2575.0,,
ロッド・オブ・コスモス,光,杖,80,ロッド・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,46,341,281.0,2107.0,,
ガン・オブ・コスモス,光,銃,80,ガン・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,29,426,176.0,2633.0,,
ガントレット・オブ・コスモス,光,格闘,80,ガントレット・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,40,371,243.0,2294.0,,
アロー・オブ・コスモス,光,弓,80,アロー・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,36,396,224.0,2446.0,,
ハープ・オブ・コスモス,光,楽器,80,ハープ・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,67,351,236.0,2165.0,,
ブレイド・オブ・コスモス,光,刀,80,ブレイド・オブ・コスモス,(AT)アタック・スタンス(DF)ディフェンド・スタンス(HE)ヒール・スタンス(BL)バランス・スタンス(PC)ペキューリア・スタンス,31,423,184.0,2610.0,,
無垢なる竜の剣,-,剣,80,グラディウス・ルーベル,0,29,435,195.0,2594.0,,
無垢なる竜の短剣,,短剣,80,シーカー・ルーベル,0,33,402,224.0,2402.0,,
無垢なる竜の槍,,槍,80,ランセア・ルーベル,0,36,395,238.0,2350.0,,
無垢なる竜の斧,,斧,80,ラブリュス・ルーベル,0,23,478,165.0,2844.0,,
無垢なる竜の杖,,杖,80,バクラム・ルーベル,0,40,367,270.0,2162.0,,
無垢なる竜の筒,,銃,80,アルマ・ルーベル,0,22,480,157.0,2857.0,,
無垢なる竜の爪,,格闘,80,ルクトール・ルーベル,0,35,393,237.0,2328.0,,
無垢なる竜の弓,,弓,80,アルクス・ルーベル,0,30,439,206.0,2608.0,,
無垢なる竜の弦,,楽器,80,ムーシカ・ルーベル,0,61,381,224.0,2245.0,,
無垢なる竜の刃,,刀,80,マカエラ・ルーベル,0,24,479,163.0,2856.0,,
オメガスウォード,-,剣,100,グラディウス・ルーベル,0,29,435,228.0,3029.0,,
オメガバゼラード,,短剣,100,シーカー・ルーベル,0,33,402,263.0,2805.0,,
オメガバルーチャ,,槍,100,ランセア・ルーベル,0,36,395,278.0,2746.0,,
オメガファルシャ,,斧,100,ラブリュス・ルーベル,0,23,478,193.0,3317.0,,
オメガロッド,,杖,100,バクラム・ルーベル,0,40,367,317.0,2525.0,,
オメガシューター,,銃,100,アルマ・ルーベル,0,22,480,184.0,3332.0,,
オメガクロー,,格闘,100,ルクトール・ルーベル,0,35,393,277.0,2717.0,,
オメガボウ,,弓,100,アルクス・ルーベル,0,30,439,241.0,3042.0,,
オメガストリング,,楽器,100,ムーシカ・ルーベル,0,61,381,256.0,2621.0,,
オメガブレイド,,刀,100,マカエラ・ルーベル,0,24,479,190.0,3335.0,,
六道・道天浄土,光,剣,50,妃光の覇道,,29,380,180.0,2345.0,光属性キャラの攻撃力上昇(EX特大),
シャフレワル,土,剣,50,裁考の覇道,,39,391,200.0,2240.0,土属性キャラの攻撃力上昇(EX特大),
六道・黄木天の箭,風,槍,50,人馬の覇道,,37,340,271.0,2427.0,風属性キャラの攻撃力上昇(EX特大),
六道・灼滅天の刃鎌,火,斧,50,灼滅の覇道,,25,400,199.0,2795.0,火属性キャラの攻撃力上昇(EX特大),
六道・氷逆天の戦棍,水,杖,50,氷逆の覇道,,43,310,260.0,1940.0,水属性キャラの攻撃力上昇(EX特大),
六道・裁考天の鳴弦,土,楽器,50,裁考の覇道,,63,318,250.0,2329.0,土属性キャラの攻撃力上昇(EX特大),
六道・普天幻魔,闇,刀,50,幻魔の覇道,,24,410,165.0,2430.0,闇属性キャラの攻撃力上昇(特大),
焔ノ太刀,火,刀,50,灼滅の覇道,,26,400,168.0,2420.0,火属性キャラの攻撃力上昇(EX特大),
